,lat,lon,arome_t2m,temp_air,temp_surf,temp_snow_ice,temp_ice,sic,residuals,hour,doy,NN_temp,FNN_temp,xgb_temp,xgbdo_temp,xgbpo_temp
2025-06-09 08:00:00,80.41797485000001,3.53407,-0.44647216796875,-1.5,0.8350000000000001,1.59375,-1.40625,0.8894004225730896,-1.05352783203125,8,160,-0.6146268844604492,-0.5648541003465652,-1.1344977617263794,-0.5730400383472443,0.008877724409103394
2025-06-09 09:00:00,80.4152905,3.49037275,-0.464630126953125,-1.5,0.75,1.625,-1.40625,0.8935727477073669,-1.035369873046875,9,160,-0.5752321183681488,-0.4658118523657322,-1.3144868612289429,-0.5911979973316193,-0.5543095394968987
2025-06-09 10:00:00,80.4123017,3.4501766500000004,-0.4866943359375,-1.46875,1.0,0.9375,-1.375,0.8935727477073669,-0.9820556640625,10,160,-0.5360174775123596,-0.37760767340660095,-1.1867135167121887,-0.6132622063159943,-0.7971503734588623
2025-06-09 11:00:00,80.40889005,3.4107909000000003,-0.44622802734375,-1.46875,0.92,0.8125,-1.375,0.8935727477073669,-1.02252197265625,11,160,-0.3952662944793701,-0.2543671429157257,-1.140340507030487,-0.5727958977222443,-0.5036216005682945
2025-06-09 12:00:00,80.40517655,3.37240645,-0.4085693359375,-1.375,0.84,0.71875,-1.375,0.899533212184906,-0.9664306640625,12,160,-0.3267812132835388,-0.15973003208637238,-1.0358783602714539,-0.5351372063159943,-0.8695626258850098
2025-06-09 13:00:00,80.40071610000001,3.33255335,-0.412445068359375,-1.15625,0.86,0.75,-1.375,0.8983411192893982,-0.743804931640625,13,160,-0.33442240953445435,-0.14676636457443237,-0.758153647184372,-0.5390129387378693,-0.8734383583068848
2025-06-09 14:00:00,80.3955534,3.2882997,-0.43792724609375,-0.78125,0.935,0.6875,-1.4375,0.8983411192893982,-0.34332275390625,14,160,-0.38742727041244507,-0.18403580784797668,-0.6943914890289307,-0.5644951164722443,-0.789042741060257
2025-06-09 15:00:00,80.38994425,3.2398697,-0.468414306640625,-0.875,0.605,0.53125,-1.46875,0.8959569334983826,-0.406585693359375,15,160,-0.4782832860946655,-0.24219085276126862,-0.7040939778089523,-0.5949821770191193,-0.49391354247927666
2025-06-09 16:00:00,80.3845431,3.1883833,-0.495697021484375,-0.9375,0.8800000000000001,0.46875,-1.46875,0.8959569334983826,-0.441802978515625,16,160,-0.6018456816673279,-0.2796943932771683,-0.5277246460318565,-0.6222648918628693,-0.5241385065019131
2025-06-09 17:00:00,80.37947685,3.13537635,-0.4736328125,-1.0,0.7250000000000001,0.125,-1.53125,0.8959569334983826,-0.5263671875,17,160,-0.6438802778720856,-0.2669306993484497,-0.5780093669891357,-0.6002006828784943,-0.6683093011379242
2025-06-09 18:00:00,80.37477035,3.0849865,-0.42926025390625,-0.75,0.805,0.0,-1.53125,0.892976701259613,-0.32073974609375,18,160,-0.6458666026592255,-0.22367650270462036,-0.49863405525684357,-0.5558281242847443,-0.37586841732263565
2025-06-09 19:00:00,80.3706929,3.0408813,-0.43511962890625,-0.4375,0.955,-0.0625,-1.5625,0.8876122832298279,-0.00238037109375,19,160,-0.7418012619018555,-0.24617072939872742,-0.2551186680793762,-0.5616874992847443,0.0690203309059143
2025-06-09 20:00:00,80.36765215,3.00488765,-0.3839111328125,-0.21875,1.065,-0.125,-1.5625,0.8876122832298279,0.1651611328125,20,160,-0.7276681363582611,-0.19872695207595825,-0.06076735258102417,-0.5104790031909943,0.08344167470932007
2025-06-09 21:00:00,80.36539275,2.9771983,-0.325927734375,-0.21875,0.94,-0.125,-1.5625,0.8852280974388123,0.107177734375,21,160,-0.6545992791652679,-0.16282637417316437,-0.16832520067691803,-0.45249560475349426,-0.38412006944417953
2025-06-09 22:00:00,80.3636277,2.9587017,-0.272979736328125,-0.1875,0.87,-0.1875,-1.59375,0.8852280974388123,0.085479736328125,22,160,-0.6139428317546844,-0.1819811463356018,-0.023054927587509155,-0.39954760670661926,-0.28263720870018005
2025-06-09 23:00:00,80.36192564999999,2.94741205,-0.196746826171875,-0.1875,0.885,-0.1875,-1.5625,0.8852280974388123,0.009246826171875,23,160,-0.5316928029060364,-0.14729362353682518,-0.08978841453790665,-0.32331469655036926,-0.24868808686733246
2025-06-10 00:00:00,80.3600688,2.9413445,-0.211334228515625,-0.1875,1.0,-0.1875,-1.5625,0.7995609641075134,0.023834228515625,0,161,-0.2914792001247406,-0.3571593910455704,0.09025359153747559,0.611244261264801,-0.14060497283935547
2025-06-10 01:00:00,80.3584025,2.9391176,-0.18017578125,-0.125,0.905,-0.1875,-1.5625,0.7995609641075134,0.05517578125,1,161,-0.2574932873249054,-0.3155077397823334,0.2698071002960205,0.642402708530426,-0.06881608814001083
2025-06-10 02:00:00,80.35670830000001,2.93846475,-0.1077880859375,-0.125,1.09,-0.1875,-1.5625,0.7995609641075134,-0.0172119140625,2,161,-0.12389445304870605,-0.0758153460919857,0.3063092827796936,0.714790403842926,0.8558811545372009
2025-06-10 03:00:00,80.3549347,2.93527285,-0.028594970703125,0.0,1.755,-0.0625,-1.5625,0.7995609641075134,0.028594970703125,3,161,0.09553718566894531,0.21745695173740387,0.482260525226593,0.793983519077301,0.6746756434440613
2025-06-10 04:00:00,80.3530432,2.9278887,0.0164794921875,0.1875,2.58,0.0,-1.5,0.7995609641075134,0.1710205078125,4,161,0.27501046657562256,0.5600903630256653,0.7298113107681274,0.839057981967926,0.6231158971786499
2025-06-10 05:00:00,80.35130715,2.91725455,0.00048828125,0.5625,3.605,0.0625,-1.5,0.7995609641075134,0.56201171875,5,161,0.3387067914009094,0.7282946705818176,0.7774004936218262,0.823066771030426,0.5832180976867676
2025-06-10 06:00:00,80.34983654999999,2.90524635,-0.005523681640625,0.75,3.745,0.09375,-1.46875,0.7989649176597595,0.755523681640625,6,161,0.41733479499816895,0.8373875617980957,0.8955245614051819,0.817054808139801,0.7204639315605164
